flow_id,src_ip,dst_ip,src_port,dst_port,protocol,packet_count,total_bytes,avg_packet_size,max_packet_size,min_packet_size,duration,avg_interval,interval_variance,avg_ttl,syn_count,ack_count,fin_count,rst_count,psh_count,unique_ports,label,confidence,reason
140.82.114.22:443 <-> 172.27.152.109:58648 TCP,172.27.152.109,140.82.114.22,58648,443,TCP,53,29380,554.339623,1476,40,46.68185,0.897728,38.090743,89.962264,2,52,0,0,18,2,Web,0.88,HTTP/HTTPS port
116.153.78.190:443 <-> 172.27.152.109:51646 TCP,172.27.152.109,116.153.78.190,51646,443,TCP,32,12333,385.40625,1488,40,45.127808,1.455736,63.215303,81.125,2,31,0,0,14,2,Web,0.88,HTTP/HTTPS port
116.153.78.190:443 <-> 172.27.152.109:49325 TCP,172.27.152.109,116.153.78.190,49325,443,TCP,97,76476,788.412371,1488,40,48.674635,0.507027,20.943243,82.226804,2,96,0,0,28,2,Web,0.88,HTTP/HTTPS port
140.82.114.22:443 <-> 172.27.152.109:53875 TCP,172.27.152.109,140.82.114.22,53875,443,TCP,5,260,52.0,52,52,7.559263,1.889816,2.224755,56.8,5,4,0,0,0,2,Web,0.88,HTTP/HTTPS port
150.171.110.68:443 <-> 172.27.152.109:65488 TCP,172.27.152.109,150.171.110.68,65488,443,TCP,84,52026,619.357143,1488,40,32.466783,0.391166,5.689526,95.5,2,83,0,0,29,2,Web,0.88,HTTP/HTTPS port
150.171.28.10:443 <-> 172.27.152.109:58274 TCP,172.27.152.109,150.171.28.10,58274,443,TCP,35,18455,527.285714,1488,40,45.446643,1.336666,57.656634,118.771429,2,34,0,0,12,2,Web,0.88,HTTP/HTTPS port
122.189.225.34:443 <-> 172.27.152.109:58576 TCP,172.27.152.109,122.189.225.34,58576,443,TCP,449,477791,1064.122494,1452,40,51.284093,0.114473,4.525653,63.498886,2,448,0,0,182,2,Web,0.88,HTTP/HTTPS port
112.83.140.13:443 <-> 172.27.152.109:49783 TCP,172.27.152.109,112.83.140.13,49783,443,TCP,605,288596,477.018182,1488,40,43.632582,0.072239,0.185176,82.563636,2,604,0,0,328,2,Web,0.88,HTTP/HTTPS port
122.188.187.54:443 <-> 172.27.152.109:54993 TCP,172.27.152.109,122.188.187.54,54993,443,TCP,458,444610,970.764192,1488,40,54.512907,0.119284,4.464726,72.851528,2,457,0,0,106,2,Web,0.88,HTTP/HTTPS port
122.189.225.34:443 <-> 172.27.152.109:64719 TCP,172.27.152.109,122.189.225.34,64719,443,TCP,180,125523,697.35,1452,40,54.38005,0.303799,11.317363,80.883333,2,179,0,0,46,2,Web,0.88,HTTP/HTTPS port
112.83.140.17:443 <-> 172.27.152.109:58329 TCP,172.27.152.109,112.83.140.17,58329,443,TCP,625,319694,511.5104,1488,40,42.838386,0.068651,0.147129,88.576,2,624,0,0,292,2,Web,0.88,HTTP/HTTPS port
112.83.140.14:443 <-> 172.27.152.109:59083 TCP,172.27.152.109,112.83.140.14,59083,443,TCP,80,25198,314.975,1488,40,70.230867,0.888998,27.962119,91.425,2,78,2,1,45,2,Web,0.88,HTTP/HTTPS port
122.189.225.34:443 <-> 172.27.152.109:51551 TCP,172.27.152.109,122.189.225.34,51551,443,TCP,31,12493,403.0,1452,40,45.498276,1.516609,65.225421,82.096774,2,30,0,0,14,2,Web,0.88,HTTP/HTTPS port
122.188.187.54:443 <-> 172.27.152.109:61117 TCP,172.27.152.109,122.188.187.54,61117,443,TCP,66,25775,390.530303,1488,40,50.751971,0.7808,30.713636,87.075758,2,65,0,0,34,2,Web,0.88,HTTP/HTTPS port
172.27.152.109:64874 <-> 61.240.206.11:443 TCP,172.27.152.109,61.240.206.11,64874,443,TCP,45,12123,269.4,1488,40,65.679084,1.492706,49.563333,84.666667,2,43,2,1,20,2,Web,0.88,HTTP/HTTPS port
172.27.152.109:58905 <-> 202.89.233.96:443 TCP,172.27.152.109,202.89.233.96,58905,443,TCP,21,7131,339.571429,1488,40,60.568094,3.028405,103.477551,121.047619,2,20,1,1,5,2,Web,0.88,HTTP/HTTPS port
172.27.152.109:61334 <-> 202.89.233.100:443 TCP,172.27.152.109,202.89.233.100,61334,443,TCP,25,12798,511.92,1488,40,60.563913,2.523496,87.506037,120.24,2,24,1,1,5,2,Web,0.88,HTTP/HTTPS port
172.27.152.109:50288 <-> 2.20.254.200:443 TCP,172.27.152.109,2.20.254.200,50288,443,TCP,24,6655,277.291667,1488,40,13.525961,0.588085,3.807934,89.5,2,23,2,0,7,2,Web,0.88,HTTP/HTTPS port
172.27.152.109:57506 <-> 221.15.71.67:443 TCP,172.27.152.109,221.15.71.67,57506,443,TCP,144,56231,390.493056,1488,40,60.630676,0.423991,14.525142,81.555556,2,143,0,0,82,2,Web,0.88,HTTP/HTTPS port
172.27.152.109:49754 <-> 218.61.121.20:443 TCP,172.27.152.109,218.61.121.20,49754,443,TCP,264,181228,686.469697,1488,40,54.189762,0.206045,7.75389,76.863636,2,263,0,0,96,2,Web,0.88,HTTP/HTTPS port
172.27.152.109:64943 <-> 218.61.121.20:443 TCP,172.27.152.109,218.61.121.20,64943,443,TCP,31,12192,393.290323,1488,40,45.35787,1.511929,65.256178,82.032258,2,30,0,0,14,2,Web,0.88,HTTP/HTTPS port
172.27.152.109:56180 <-> 172.66.149.158:443 TCP,172.27.152.109,172.66.149.158,56180,443,TCP,43,10403,241.930233,1488,40,54.994137,1.309384,47.485695,87.348837,2,42,0,0,23,2,Web,0.88,HTTP/HTTPS port
112.83.140.17:443 <-> 172.27.152.109:57016 TCP,172.27.152.109,112.83.140.17,57016,443,TCP,44,11300,256.818182,1488,40,61.214035,1.423582,48.59421,80.75,2,43,0,0,23,2,Web,0.88,HTTP/HTTPS port
172.27.152.109:59050 <-> 58.19.48.35:443 TCP,172.27.152.109,58.19.48.35,59050,443,TCP,252,196400,779.365079,1452,40,53.469306,0.213025,8.119021,75.56746,2,251,0,0,113,2,Web,0.88,HTTP/HTTPS port
172.27.152.109:60270 <-> 210.42.68.10:443 TCP,172.27.152.109,210.42.68.10,60270,443,TCP,667,820399,1229.983508,1488,40,45.726986,0.068659,3.036459,69.124438,2,666,0,0,101,2,Web,0.88,HTTP/HTTPS port
150.171.28.11:443 <-> 172.27.152.109:58611 TCP,172.27.152.109,150.171.28.11,58611,443,TCP,36,17842,495.611111,1488,40,45.688037,1.305372,56.163084,118.166667,2,35,0,0,14,2,Web,0.88,HTTP/HTTPS port
157.255.191.89:443 <-> 172.27.152.109:62454 TCP,172.27.152.109,157.255.191.89,62454,443,TCP,6,1530,255.0,463,40,31.475807,6.295161,155.263481,102.0,0,6,0,0,4,2,Web,0.88,HTTP/HTTPS port
122.188.44.139:443 <-> 172.27.152.109:52849 TCP,172.27.152.109,122.188.44.139,52849,443,TCP,29,12187,420.241379,1488,40,45.100349,1.610727,69.769742,83.310345,2,28,0,0,13,2,Web,0.88,HTTP/HTTPS port
122.189.168.226:443 <-> 172.27.152.109:65197 TCP,172.27.152.109,122.189.168.226,65197,443,TCP,28,10979,392.107143,1488,40,61.211738,2.267101,78.216286,90.5,2,27,2,0,8,2,Web,0.88,HTTP/HTTPS port
172.27.152.109:65198 <-> 216.239.34.223:443 TCP,172.27.152.109,216.239.34.223,65198,443,TCP,5,260,52.0,52,52,15.033645,3.758411,7.199057,128.0,5,0,0,0,0,2,Web,0.88,HTTP/HTTPS port
172.27.152.109:65199 <-> 216.239.34.223:443 TCP,172.27.152.109,216.239.34.223,65199,443,TCP,5,260,52.0,52,52,15.050859,3.762715,7.186868,128.0,5,0,0,0,0,2,Web,0.88,HTTP/HTTPS port
172.27.152.109:61529 <-> 220.197.31.42:443 TCP,172.27.152.109,220.197.31.42,61529,443,TCP,270,210848,780.918519,1488,40,53.095226,0.19738,7.523572,75.740741,2,269,0,0,136,2,Web,0.88,HTTP/HTTPS port
172.27.152.109:58334 <-> 220.197.31.42:443 TCP,172.27.152.109,220.197.31.42,58334,443,TCP,24,10243,426.791667,1488,40,45.230896,1.966561,84.048325,83.583333,2,23,0,0,10,2,Web,0.88,HTTP/HTTPS port
172.27.152.109:53363 <-> 220.197.31.42:443 TCP,172.27.152.109,220.197.31.42,53363,443,TCP,24,9059,377.458333,1488,40,45.431817,1.975296,84.006577,87.0,2,23,0,0,11,2,Web,0.88,HTTP/HTTPS port
172.27.152.109:61918 <-> 220.197.31.42:443 TCP,172.27.152.109,220.197.31.42,61918,443,TCP,23,9982,434.0,1488,40,45.212362,2.055107,87.877752,84.695652,2,22,0,0,10,2,Web,0.88,HTTP/HTTPS port
172.27.152.109:59137 <-> 220.197.31.42:443 TCP,172.27.152.109,220.197.31.42,59137,443,TCP,23,8894,386.695652,1488,40,45.240444,2.056384,87.826882,88.782609,2,22,0,0,11,2,Web,0.88,HTTP/HTTPS port
172.27.152.109:61731 <-> 61.242.191.52:443 TCP,172.27.152.109,61.242.191.52,61731,443,TCP,8334,8815995,1057.834773,1488,40,50.773352,0.006093,0.24315,77.330454,2,8333,0,0,2311,2,Web,0.88,HTTP/HTTPS port
