flow_id,src_ip,dst_ip,src_port,dst_port,protocol,packet_count,total_bytes,avg_packet_size,max_packet_size,min_packet_size,duration,avg_interval,interval_variance,avg_ttl,syn_count,ack_count,fin_count,rst_count,psh_count,unique_ports,label,confidence,reason
172.27.152.109:51418 <-> 202.114.200.251:53 UDP,172.27.152.109,202.114.200.251,51418,53,UDP,2,185,92.5,121,64,0.015338,0.015338,0.0,94.5,0,0,0,0,0,2,DNS,0.92,port 53 DNS traffic
172.27.152.109:63428 <-> 202.114.200.251:53 UDP,172.27.152.109,202.114.200.251,63428,53,UDP,2,250,125.0,191,59,4.870729,4.870729,0.0,94.5,0,0,0,0,0,2,DNS,0.92,port 53 DNS traffic
172.27.152.109:57479 <-> 202.114.200.251:53 UDP,172.27.152.109,202.114.200.251,57479,53,UDP,2,326,163.0,267,59,0.099313,0.099313,0.0,94.5,0,0,0,0,0,2,DNS,0.92,port 53 DNS traffic
172.27.152.109:60394 <-> 202.114.200.251:53 UDP,172.27.152.109,202.114.200.251,60394,53,UDP,2,175,87.5,115,60,2.477549,2.477549,0.0,94.5,0,0,0,0,0,2,DNS,0.92,port 53 DNS traffic
172.27.152.109:55807 <-> 202.114.200.251:53 UDP,172.27.152.109,202.114.200.251,55807,53,UDP,2,494,247.0,434,60,0.09898,0.09898,0.0,94.5,0,0,0,0,0,2,DNS,0.92,port 53 DNS traffic
172.27.152.109:59810 <-> 202.114.200.251:53 UDP,172.27.152.109,202.114.200.251,59810,53,UDP,2,274,137.0,207,67,4.898927,4.898927,0.0,94.5,0,0,0,0,0,2,DNS,0.92,port 53 DNS traffic
172.27.152.109:57934 <-> 202.114.200.251:53 UDP,172.27.152.109,202.114.200.251,57934,53,UDP,2,353,176.5,286,67,0.097366,0.097366,0.0,94.5,0,0,0,0,0,2,DNS,0.92,port 53 DNS traffic
172.27.152.109:53936 <-> 202.114.200.251:53 UDP,172.27.152.109,202.114.200.251,53936,53,UDP,2,274,137.0,207,67,4.817046,4.817046,0.0,94.5,0,0,0,0,0,2,DNS,0.92,port 53 DNS traffic
172.27.152.109:51476 <-> 202.114.200.251:53 UDP,172.27.152.109,202.114.200.251,51476,53,UDP,2,353,176.5,286,67,0.012359,0.012359,0.0,94.5,0,0,0,0,0,2,DNS,0.92,port 53 DNS traffic
172.27.152.109:60538 <-> 202.114.200.251:53 UDP,172.27.152.109,202.114.200.251,60538,53,UDP,2,274,137.0,207,67,4.827917,4.827917,0.0,94.5,0,0,0,0,0,2,DNS,0.92,port 53 DNS traffic
172.27.152.109:55176 <-> 202.114.200.251:53 UDP,172.27.152.109,202.114.200.251,55176,53,UDP,2,353,176.5,286,67,0.012064,0.012064,0.0,94.5,0,0,0,0,0,2,DNS,0.92,port 53 DNS traffic
172.27.152.109:63807 <-> 202.114.200.251:53 UDP,172.27.152.109,202.114.200.251,63807,53,UDP,2,274,137.0,207,67,4.827615,4.827615,0.0,94.5,0,0,0,0,0,2,DNS,0.92,port 53 DNS traffic
172.27.152.109:58212 <-> 202.114.200.251:53 UDP,172.27.152.109,202.114.200.251,58212,53,UDP,2,353,176.5,286,67,0.011761,0.011761,0.0,94.5,0,0,0,0,0,2,DNS,0.92,port 53 DNS traffic
172.27.152.109:56047 <-> 202.114.200.251:53 UDP,172.27.152.109,202.114.200.251,56047,53,UDP,2,274,137.0,207,67,4.830829,4.830829,0.0,94.5,0,0,0,0,0,2,DNS,0.92,port 53 DNS traffic
172.27.152.109:59637 <-> 202.114.200.251:53 UDP,172.27.152.109,202.114.200.251,59637,53,UDP,2,353,176.5,286,67,0.025002,0.025002,0.0,94.5,0,0,0,0,0,2,DNS,0.92,port 53 DNS traffic
172.27.152.109:58942 <-> 202.114.200.251:53 UDP,172.27.152.109,202.114.200.251,58942,53,UDP,2,274,137.0,207,67,4.830453,4.830453,0.0,94.5,0,0,0,0,0,2,DNS,0.92,port 53 DNS traffic
172.27.152.109:56054 <-> 202.114.200.251:53 UDP,172.27.152.109,202.114.200.251,56054,53,UDP,2,353,176.5,286,67,0.020312,0.020312,0.0,94.5,0,0,0,0,0,2,DNS,0.92,port 53 DNS traffic
