序号,总距离(km),城市数,路径
212,2812.00,4,北京->合肥->太原->成都
213,2822.00,4,北京->石家庄->杭州->成都
214,2825.00,4,北京->南京->上海->成都
215,2826.00,4,北京->合肥->兰州->成都
216,2826.00,4,北京->西安->石家庄->成都
217,2832.00,4,北京->天津->沈阳->成都
218,2834.00,4,北京->重庆->兰州->成都
219,2835.00,4,北京->上海->南昌->成都
220,2857.00,4,北京->上海->长沙->成都
221,2871.00,4,北京->银川->石家庄->成都
222,2872.00,4,北京->济南->昆明->成都
223,2879.00,4,北京->杭州->西安->成都
224,2882.00,4,北京->南京->太原->成都
225,2889.00,4,北京->合肥->石家庄->成都
226,2889.00,4,北京->南昌->合肥->成都
227,2893.00,4,北京->上海->西安->成都
228,2902.00,4,北京->上海->郑州->成都
229,2912.00,4,北京->武汉->南京->成都
230,2920.00,4,北京->石家庄->上海->成都
231,2921.00,4,北京->沈阳->呼和浩特->成都
232,2925.00,4,北京->杭州->郑州->成都
233,2927.00,4,北京->沈阳->重庆->成都
234,2933.00,4,北京->南京->石家庄->成都
235,2946.00,4,北京->郑州->杭州->成都
236,2953.00,4,北京->南京->兰州->成都
237,2954.00,4,北京->杭州->上海->成都
238,2959.00,4,北京->合肥->上海->成都
239,2966.00,4,北京->呼和浩特->南昌->成都
240,2968.00,4,北京->南昌->郑州->成都
241,2973.00,4,北京->昆明->重庆->成都
242,2977.00,4,北京->呼和浩特->南京->成都
243,2980.00,4,北京->武汉->昆明->成都
244,2982.00,4,北京->西安->南昌->成都
245,2991.00,4,北京->武汉->太原->成都
246,2992.00,4,北京->呼和浩特->昆明->成都
247,3004.00,4,北京->沈阳->银川->成都
248,3007.00,4,北京->西安->合肥->成都
249,3009.00,4,北京->合肥->银川->成都
250,3012.00,4,北京->银川->武汉->成都
251,3015.00,4,北京->西安->呼和浩特->成都
252,3018.00,4,北京->重庆->长沙->成都
253,3018.00,4,北京->郑州->南宁->成都
254,3019.00,3,北京->南宁->成都
255,3021.00,4,北京->南宁->贵阳->成都
256,3021.00,4,北京->杭州->贵阳->成都
257,3028.00,4,北京->昆明->贵阳->成都
258,3029.00,4,北京->沈阳->兰州->成都
259,3031.00,4,北京->石家庄->南宁->成都
260,3044.00,4,北京->太原->杭州->成都
261,3049.00,4,北京->长沙->昆明->成都
262,3054.00,4,北京->银川->昆明->成都
263,3059.00,4,北京->兰州->昆明->成都
264,3060.00,4,北京->武汉->银川->成都
265,3063.00,4,北京->西安->济南->成都
266,3063.00,4,北京->西宁->贵阳->成都
267,3070.00,4,北京->重庆->西宁->成都
268,3070.00,4,北京->长沙->南宁->成都
269,3073.00,4,北京->武汉->南宁->成都
270,3075.00,4,北京->天津->南宁->成都
271,3084.00,4,北京->济南->南宁->成都
272,3086.00,4,北京->南宁->重庆->成都
273,3089.00,4,北京->沈阳->武汉->成都
274,3090.00,4,北京->长沙->郑州->成都
275,3092.00,4,北京->武汉->西宁->成都
276,3093.00,4,北京->银川->长沙->成都
277,3098.00,4,北京->太原->南宁->成都
278,3103.00,4,北京->兰州->郑州->成都
